TableID,ColumnID,RowID,URI_sub,URI_gt,ok
54719588_0_8417197176086756912,3,101,http://dbpedia.org/resource/Contender,http://dbpedia.org/resource/The_Contender_(2000_film) http://dbpedia.org/resource/The_Contender_(2000_film),0
13719111_1_5719401842463579519,0,443,http://dbpedia.org/resource/Common_fiscal,http://dbpedia.org/resource/Grey-backed_Fiscal http://dbpedia.org/resource/Gray-backed_Fiscal http://dbpedia.org/resource/Gray-backed_fiscal http://dbpedia.org/resource/Grey-backed_fiscal http://dbpedia.org/resource/Lanius_excubitorius http://dbpedia.org/resource/Grey-backed_Fiscal http://dbpedia.org/resource/Lanius_excubitoroides,0
58891288_0_1117541047012405958,1,95,http://dbpedia.org/resource/Heat,http://dbpedia.org/resource/Heat_(1995_film) http://dbpedia.org/resource/Heat_(1995_film),0
39173938_0_7916056990138658530,1,45,http://dbpedia.org/resource/To_Be_or_Not_to_Be,http://dbpedia.org/resource/To_Be_or_Not_to_Be_%281942_film%29 http://dbpedia.org/resource/To_Be_or_Not_to_Be_%281942_film%29,0
13719111_1_5719401842463579519,0,132,http://dbpedia.org/resource/Dusky_turtle_dove,http://dbpedia.org/resource/Meyer's_Parrot http://dbpedia.org/resource/Brown_Parrot http://dbpedia.org/resource/Brown_parrot http://dbpedia.org/resource/Poicephalus_meyeri http://dbpedia.org/resource/Meyer's_Parrot http://dbpedia.org/resource/Meyer's_parrot,0
25404227_0_2240631045609013057,1,92,http://dbpedia.org/resource/Three_Kings,http://dbpedia.org/resource/Three_Kings_(1999_film) http://dbpedia.org/resource/Three_Kings_(1999_film),0
35188621_0_6058553107571275232,1,57,http://dbpedia.org/resource/Swingers,http://dbpedia.org/resource/Swingers_(1996_film) http://dbpedia.org/resource/Swingers_(1996_film) http://dbpedia.org/resource/Swingers_Soundtrack http://dbpedia.org/resource/Swingers_(1996),0
91959037_0_7907661684242014480,1,303,http://dbpedia.org/resource/The_Sims_(video_game),http://dbpedia.org/resource/The_Sims http://dbpedia.org/resource/The_Sims_DJ http://dbpedia.org/resource/The_sims http://dbpedia.org/resource/List_of_famous_people_in_The_Sims_series http://dbpedia.org/resource/The_Sims_List_of_Expansion_Packs http://dbpedia.org/resource/The_Sims_Series http://dbpedia.org/resource/The_Sims_Franchise_(GBA) http://dbpedia.org/resource/Bella_Goth http://dbpedia.org/resource/The_Sims_series http://dbpedia.org/resource/The_Sims http://dbpedia.org/resource/The_Sims_Game http://dbpedia.org/resource/The_Sims_(video_game_series) http://dbpedia.org/resource/The_Sims_IV http://dbpedia.org/resource/The_Sims_(series) http://dbpedia.org/resource/Comparison_of_The_Sims_games http://dbpedia.org/resource/Mortimer_Goth http://dbpedia.org/resource/List_of_Expansion_Packs_for_The_Sims_series http://dbpedia.org/resource/Sim_Designer,0
13719111_1_5719401842463579519,0,112,http://dbpedia.org/resource/Wood_sandpiper,http://dbpedia.org/resource/Common_Greenshank http://dbpedia.org/resource/Greenshank http://dbpedia.org/resource/Common_Greenshank http://dbpedia.org/resource/Tringa_nebularia http://dbpedia.org/resource/Common_greenshank,0
54719588_0_8417197176086756912,3,50,http://dbpedia.org/resource/Mexican,http://dbpedia.org/resource/The_Mexican http://dbpedia.org/resource/The_Mexican_(film) http://dbpedia.org/resource/The_Mexican,0
13719111_1_5719401842463579519,0,308,http://dbpedia.org/resource/Blue-shouldered_robin-chat,http://dbpedia.org/resource/Snowy-crowned_Robin-Chat http://dbpedia.org/resource/Snowy-headed_Robin-chat http://dbpedia.org/resource/Snowy-crowned_Robin-Chat http://dbpedia.org/resource/Snowy-crowned_robin-chat http://dbpedia.org/resource/Snowy-crowned_Robin-chat http://dbpedia.org/resource/Cossypha_niveicapilla,0
13719111_1_5719401842463579519,0,321,http://dbpedia.org/resource/White-browed_scrub-robin,http://dbpedia.org/resource/Brown-backed_Scrub_Robin http://dbpedia.org/resource/Brown-backed_Scrub-robin http://dbpedia.org/resource/Brown-backed_Scrub_Robin http://dbpedia.org/resource/Brown-backed_scrub-robin http://dbpedia.org/resource/Erythropygia_hartlaubi http://dbpedia.org/resource/Cercotrichas_hartlaubi http://dbpedia.org/resource/Brown-backed_Scrub-Robin http://dbpedia.org/resource/Brown-backed_scrub_robin,0
13719111_1_5719401842463579519,0,351,http://dbpedia.org/resource/Croaking_cisticola,http://dbpedia.org/resource/Rattling_Cisticola http://dbpedia.org/resource/Rattling_cisticola http://dbpedia.org/resource/Rattling_Cisticola http://dbpedia.org/resource/Cisticola_chinianus http://dbpedia.org/resource/Cisticola_chiniana,0
9475172_1_1023126399856690702,1,157,http://dbpedia.org/resource/Star_Wars:_Clone_Wars,http://dbpedia.org/resource/Star_Wars:_Clone_Wars_(2003_TV_series) http://dbpedia.org/resource/Clone_Wars_(cartoon) http://dbpedia.org/resource/Battle_of_Mon_Calamari http://dbpedia.org/resource/List_of_Star_Wars:_The_Clone_Wars_(2003_TV_series)_episodes http://dbpedia.org/resource/The_Clone_Wars_(2003_series) http://dbpedia.org/resource/Quarren_Crab_Cannon http://dbpedia.org/resource/Voolvif_Monn http://dbpedia.org/resource/Star_Wars:_Clone_Wars_(2003_TV_series) http://dbpedia.org/resource/Star_Wars:_Clone_Wars_(TV_series) http://dbpedia.org/resource/Battle_of_Orto http://dbpedia.org/resource/Seismic_tank http://dbpedia.org/resource/Battle_of_Calamari http://dbpedia.org/resource/Star_Wars:_The_Clone_Wars_(2003_TV_series) http://dbpedia.org/resource/Star_Wars:_Clone_Wars_(cartoon) http://dbpedia.org/resource/Clone_Wars_micro-series http://dbpedia.org/resource/Seismic_Tank http://dbpedia.org/resource/Star_Wars:_Clone_Wars_(TV_Series) http://dbpedia.org/resource/Durge http://dbpedia.org/resource/Trade_Federation_Sub-Carrier http://dbpedia.org/resource/Manta_droid_subfighters,0
13719111_1_5719401842463579519,0,123,http://dbpedia.org/resource/Blue-spotted_wood-dove,http://dbpedia.org/resource/Black-billed_Wood_Dove http://dbpedia.org/resource/Black-billed_Wood-Dove http://dbpedia.org/resource/Turtur_abyssinicus http://dbpedia.org/resource/Black-billed_Wood_Dove http://dbpedia.org/resource/Black-billed_wood-dove http://dbpedia.org/resource/Black-billed_Wood-dove http://dbpedia.org/resource/Black-billed_wood_dove,0
75367212_2_2745466355267233390,0,16,NOT FOUND URI,"http://dbpedia.org/resource/The_Legend_of_Zelda:_Majora's_Mask http://dbpedia.org/resource/Stock_Pot_Inn http://dbpedia.org/resource/Mujula's_Mask http://dbpedia.org/resource/Stone_Tower_Temple http://dbpedia.org/resource/Characters_in_The_Legend_of_Zelda:_Majora's_Mask http://dbpedia.org/resource/Clock_town http://dbpedia.org/resource/Indigo-Go's http://dbpedia.org/resource/The_Legend_of_Zelda_Majora's_Mask http://dbpedia.org/resource/The_Legend_of_Zelda:_Majora's_Mask http://dbpedia.org/resource/The_Legend_of_Zelda:_Majora's_Mask_(manga) http://dbpedia.org/resource/Zoraxe http://dbpedia.org/resource/Mikau http://dbpedia.org/resource/The_Legend_of_Zelda:_Majora's_Mask_characters http://dbpedia.org/resource/Termina http://dbpedia.org/resource/Zelda:_Majora's_Mask http://dbpedia.org/resource/ゼルダの伝説_ムジュラの仮面 http://dbpedia.org/resource/LoZ:MM http://dbpedia.org/resource/Zelda_Gaiden http://dbpedia.org/resource/Inverted_song_of_time http://dbpedia.org/resource/The_Indigo-Go's http://dbpedia.org/resource/Goht http://dbpedia.org/resource/Zelda_no_Densetsu:_Majora_no_Kamen http://dbpedia.org/resource/Kafei http://dbpedia.org/resource/Majora's_Mask_characters http://dbpedia.org/resource/Latte_Milk_Bar http://dbpedia.org/resource/Indigo-go's http://dbpedia.org/resource/Skullkid http://dbpedia.org/resource/Majora’s_Mask http://dbpedia.org/resource/Twinmold http://dbpedia.org/resource/The_legend_of_zelda_majora's_mask http://dbpedia.org/resource/Zelda_majora http://dbpedia.org/resource/Legend_of_zelda_majora's_mask http://dbpedia.org/resource/Zelda_6 http://dbpedia.org/resource/Ikana_Canyon http://dbpedia.org/resource/Majora's_Mask http://dbpedia.org/resource/Zelda_MM http://dbpedia.org/resource/Four_Guardians http://dbpedia.org/resource/Zelda_VI http://dbpedia.org/resource/Legend_of_Zelda:_Majora's_Mask http://dbpedia.org/resource/Legend_of_Zelda:_Majora's_Mask,_The http://dbpedia.org/resource/Darmani http://dbpedia.org/resource/Mujula http://dbpedia.org/resource/List_of_characters_in_The_Legend_of_Zelda:_Majora's_Mask http://dbpedia.org/resource/The_Legend_of_Zelda:_Majora’s_Mask http://dbpedia.org/resource/The_Legend_of_Zelda:_Mask_of_Mujula http://dbpedia.org/resource/Stone_Tower_(The_Legend_of_Zelda) http://dbpedia.org/resource/Majoras_Mask http://dbpedia.org/resource/Double_helix_sword http://dbpedia.org/resource/Stone_tower_temple http://dbpedia.org/resource/Zelda_no_Densetsu_Majora_no_Kamen http://dbpedia.org/resource/Gyorg http://dbpedia.org/resource/Places_in_The_Legend_of_Zelda:_Majora's_Mask http://dbpedia.org/resource/Odolwa http://dbpedia.org/resource/LOZMM http://dbpedia.org/resource/The_Legend_of_Zelda:MM http://dbpedia.org/resource/The_Legend_of_Zelda_(2000_video_game) http://dbpedia.org/resource/List_of_The_Legend_of_Zelda:_Majora's_Mask_characters http://dbpedia.org/resource/Clock_Town http://dbpedia.org/resource/Characters_from_The_Legend_of_Zelda:_Majora's_Mask http://dbpedia.org/resource/Ikana http://dbpedia.org/resource/Mask_of_Mujula http://dbpedia.org/resource/The_Legend_of_Zelda:_Majora’s_Mask_characters http://dbpedia.org/resource/Goron_Elder http://dbpedia.org/resource/The_Legend_Of_Zelda:_Majora's_Mask http://dbpedia.org/resource/Loz_mm",0
26310680_0_5150772059999313798,1,193,NOT FOUND URI,http://dbpedia.org/resource/Saint_Helena_pound http://dbpedia.org/resource/St_Helena_pounds http://dbpedia.org/resource/Saint_Helena_pound http://dbpedia.org/resource/St_Helena_and_Ascension_coins http://dbpedia.org/resource/Coins_of_the_Saint_Helena_pound http://dbpedia.org/resource/Saint_Helenian_pound http://dbpedia.org/resource/Coins_of_the_saint_helena_pound http://dbpedia.org/resource/Saint_Helena_Pound,0
21245481_0_8730460088443117515,1,130,NOT FOUND URI,http://dbpedia.org/resource/Lake_Thunderbird http://dbpedia.org/resource/Lake_thunderbird http://dbpedia.org/resource/Lake_Thunderbird http://dbpedia.org/resource/Norman_Dam,0
50245608_0_871275842592178099,0,90,http://dbpedia.org/resource/Godfather,http://dbpedia.org/resource/The_Godfather http://dbpedia.org/resource/I'm_going_to_make_him_an_offer_he_can't_refuse http://dbpedia.org/resource/Il_Padrino http://dbpedia.org/resource/The_Godfather_(movie) http://dbpedia.org/resource/The_godfather_1 http://dbpedia.org/resource/The_godfather http://dbpedia.org/resource/The_Godfather http://dbpedia.org/resource/Paulie_gatto http://dbpedia.org/resource/TGP1 http://dbpedia.org/resource/Godfather_(movie) http://dbpedia.org/resource/The_Godfather:_The_Coppola_Restoration http://dbpedia.org/resource/Frankie_Falcone http://dbpedia.org/resource/Der_Pate http://dbpedia.org/resource/It's_not_personal._It's_strictly_business. http://dbpedia.org/resource/The_Godfather_trilogy http://dbpedia.org/resource/Captain_McCluskey http://dbpedia.org/resource/Salvatorre_Stracci http://dbpedia.org/resource/The_Godfather_I http://dbpedia.org/resource/THE_GODFATHER http://dbpedia.org/resource/Tony_Bianchi http://dbpedia.org/resource/The_Godfather_Part_I http://dbpedia.org/resource/The_Godfather_(film),0
91959037_0_7907661684242014480,1,347,NOT FOUND URI,http://dbpedia.org/resource/World_of_Warcraft:_Wrath_of_the_Lich_King http://dbpedia.org/resource/Wotlc http://dbpedia.org/resource/WotLK http://dbpedia.org/resource/WoW_-_Wrath_of_the_Lich_King http://dbpedia.org/resource/World_of_Warcraft_-_Wrath_of_the_Lich_King http://dbpedia.org/resource/World_of_Warcraft_Wrath_of_the_Lich_King http://dbpedia.org/resource/WLK http://dbpedia.org/resource/Wrath_of_the_Lich_King http://dbpedia.org/resource/World_of_Warcraft:_Wrath_of_the_Lich_King http://dbpedia.org/resource/WoW_Wrath_of_the_Lich_King http://dbpedia.org/resource/WoW_WotLK http://dbpedia.org/resource/WoW:_Wrath_of_the_Lich_King http://dbpedia.org/resource/WOWWOTLK http://dbpedia.org/resource/WotK http://dbpedia.org/resource/The_Wrath_of_the_Lich_King http://dbpedia.org/resource/World_of_Warcraft:_The_Wrath_of_the_Lich_King http://dbpedia.org/resource/Ulduar http://dbpedia.org/resource/Pre-Cata http://dbpedia.org/resource/WOTLK http://dbpedia.org/resource/WoW:_WotLK http://dbpedia.org/resource/Wrath_of_the_Lich-King http://dbpedia.org/resource/Wrath_of_the_lich_king http://dbpedia.org/resource/Pre-Cataclysm,0
21245481_0_8730460088443117515,1,74,NOT FOUND URI,http://dbpedia.org/resource/Alum_Creek_Lake http://dbpedia.org/resource/Alum_creek_lake http://dbpedia.org/resource/Alum_Creek_Lake,0
50245608_0_871275842592178099,0,290,http://dbpedia.org/resource/Wrestler,http://dbpedia.org/resource/The_Wrestler_(2008_film) http://dbpedia.org/resource/Randy_%22The_Ram%22_Robinson http://dbpedia.org/resource/Wrestler_(film) http://dbpedia.org/resource/The_Wrestler_(2009_film) http://dbpedia.org/resource/Robin_Ramzinski http://dbpedia.org/resource/The_Wrestler_(2008_film),0
21245481_0_8730460088443117515,1,51,NOT FOUND URI,http://dbpedia.org/resource/Lake_D%E2%80%99Arbonne http://dbpedia.org/resource/Lake_D%E2%80%99Arbonne,0
50245608_0_871275842592178099,0,249,http://dbpedia.org/resource/Tommy,http://dbpedia.org/resource/Tommy_(1975_film) http://dbpedia.org/resource/Tommy_(1975_film) http://dbpedia.org/resource/Tommy_(movie) http://dbpedia.org/resource/Quintaphonic,0
69537082_0_7789694313271016902,1,195,http://dbpedia.org/resource/Virgin_Islands,"http://dbpedia.org/resource/United_States_Virgin_Islands http://dbpedia.org/resource/Virgin_Island_of_the_United_States http://dbpedia.org/resource/U.S._Virgin_Islands http://dbpedia.org/resource/U.S.A._Virgin_Islands http://dbpedia.org/resource/Languages_of_U.S._Virgin_Islands http://dbpedia.org/resource/Virgin_Islands_of_the_U.S. http://dbpedia.org/resource/US._Virgin_Islands http://dbpedia.org/resource/Us_virgin_island http://dbpedia.org/resource/The_Virgin_Islands_of_the_U_S http://dbpedia.org/resource/USVI http://dbpedia.org/resource/U.S._Virgin_Islands_(U.S._state) http://dbpedia.org/resource/Untied_States_Virgin_Islands http://dbpedia.org/resource/The_Virgin_Islands_of_the_United_States http://dbpedia.org/resource/American_Virgin_Islands http://dbpedia.org/resource/Virgin_Islands_(US) http://dbpedia.org/resource/U._S._Virgin_Islands http://dbpedia.org/resource/The_United_States_Virgin_Islands http://dbpedia.org/resource/U_S_Virgin_Islands http://dbpedia.org/resource/Territory_of_the_Virgin_Islands_of_the_United_States http://dbpedia.org/resource/US-VI http://dbpedia.org/resource/Languages_of_the_United_States_Virgin_Islands http://dbpedia.org/resource/U.S_Virgin_Islands http://dbpedia.org/resource/Territory_of_the_United_States_Virgin_Islands http://dbpedia.org/resource/U.S.V.I. http://dbpedia.org/resource/U.S._Virgin_Islands/Military http://dbpedia.org/resource/The_US_Virgin_Islands http://dbpedia.org/resource/US_Virgin_Islands http://dbpedia.org/resource/Virgin_Islands_(USA) http://dbpedia.org/resource/Us_virgin_islands http://dbpedia.org/resource/US_virgin_island http://dbpedia.org/resource/Virgin_Islands,_United_States http://dbpedia.org/resource/The_U_S_Virgin_Islands http://dbpedia.org/resource/U.S._Virgin_Island http://dbpedia.org/resource/United_States_Virgin_Island http://dbpedia.org/resource/United_States_of_America_Virgin_Island http://dbpedia.org/resource/Virgin_Islands_of_the_United_States http://dbpedia.org/resource/U.S._Virgin_Islands/History http://dbpedia.org/resource/The_Virgin_Islands_of_the_U.S. http://dbpedia.org/resource/Virgin_Islands_(U.S.) http://dbpedia.org/resource/Virgin_Islands,_U.S. http://dbpedia.org/resource/United_States_Virgin_Islands http://dbpedia.org/resource/The_U._S._Virgin_Islands http://dbpedia.org/resource/The_Virgin_Islands_of_the_US http://dbpedia.org/resource/Education_in_the_United_States_Virgin_Islands http://dbpedia.org/resource/Virgin_Islands_of_the_US http://dbpedia.org/resource/The_Virgin_Islands_of_the_U._S. http://dbpedia.org/resource/Military_of_the_U.S._Virgin_Islands http://dbpedia.org/resource/U.S._Virgin_Islander http://dbpedia.org/resource/ISO_3166-1:VI http://dbpedia.org/resource/The_U.S._Virgin_Islands",0
63450419_0_8012592961815711786,1,61,NOT FOUND URI,http://dbpedia.org/resource/Carex_lenticularis http://dbpedia.org/resource/Carex_lenticularis http://dbpedia.org/resource/Lakeshore_sedge,0
50245608_0_871275842592178099,0,41,NOT FOUND URI,http://dbpedia.org/resource/A_Civil_Action_(film) http://dbpedia.org/resource/A_Civil_Action_(film),0
88523363_0_8180214313099580515,0,81,NOT FOUND URI,"http://dbpedia.org/resource/Calamus_(palm) http://dbpedia.org/resource/Calamus_(plant_genus) http://dbpedia.org/resource/Calamus_(palm_genus) http://dbpedia.org/resource/Cornera http://dbpedia.org/resource/Schizospatha http://dbpedia.org/resource/Palmijuncus http://dbpedia.org/resource/Rotang http://dbpedia.org/resource/Calamus_(palm) http://dbpedia.org/resource/Zalaccella http://dbpedia.org/resource/Calamus_(genus,_botany) http://dbpedia.org/resource/Rotanga",0
35188621_0_6058553107571275232,1,95,http://dbpedia.org/resource/The_Untouchables,http://dbpedia.org/resource/The_Untouchables_(film) http://dbpedia.org/resource/Untouchables_(video_game) http://dbpedia.org/resource/The_Untouchables_(film) http://dbpedia.org/resource/The_Untouchables_(video_game) http://dbpedia.org/resource/The_Untouchables_(1987_film) http://dbpedia.org/resource/Capone_Rising http://dbpedia.org/resource/The_Untouchables:_Capone_Rising http://dbpedia.org/resource/The_Untouchables_(1991_video_game),0
33401079_0_9127583903019856402,0,11,NOT FOUND URI,http://dbpedia.org/resource/George_Frideric_Handel http://dbpedia.org/resource/Händel http://dbpedia.org/resource/George_Friederich_Handel http://dbpedia.org/resource/Haendel http://dbpedia.org/resource/Georg_Frederick_Handel http://dbpedia.org/resource/Georg_Friederich_Handel http://dbpedia.org/resource/Handel http://dbpedia.org/resource/Georg_Friederich_Haendel http://dbpedia.org/resource/George_Friedrich_Händel http://dbpedia.org/resource/G._F._Handel http://dbpedia.org/resource/Handel_in_London http://dbpedia.org/resource/Georg_Friederich_Händel http://dbpedia.org/resource/Georg_Fredric_Handel http://dbpedia.org/resource/George_Frederick_Handel http://dbpedia.org/resource/George_Handel http://dbpedia.org/resource/George_Frideric_Händel http://dbpedia.org/resource/George_Frederic_Handel http://dbpedia.org/resource/G.F._Handel http://dbpedia.org/resource/George_Friderich_Handel http://dbpedia.org/resource/Georg_Friedrich_Handel http://dbpedia.org/resource/George_Handal http://dbpedia.org/resource/George_Frideric_Haendel http://dbpedia.org/resource/George_Frideric_Handel http://dbpedia.org/resource/Georg_Handel http://dbpedia.org/resource/Georg_Frideric_Handel http://dbpedia.org/resource/George_Friedrich_Haendel http://dbpedia.org/resource/Georg_Friedrich_Händel http://dbpedia.org/resource/GF_Handel http://dbpedia.org/resource/George_Friedrich_Handel http://dbpedia.org/resource/Georg_Friedrich_Haendel http://dbpedia.org/resource/George_Friederic_Handel,0
46671561_0_6122315295162029872,0,151,http://dbpedia.org/resource/The_Club,http://dbpedia.org/resource/The_Club_(video_game) http://dbpedia.org/resource/The_Club_(computer_game) http://dbpedia.org/resource/The_Club_(video_game),0
13719111_1_5719401842463579519,0,40,http://dbpedia.org/resource/Black_kite,http://dbpedia.org/resource/Black-shouldered_Kite http://dbpedia.org/resource/Elanus_axillaris http://dbpedia.org/resource/Black-shouldered_Kite http://dbpedia.org/resource/Australian_Black-shouldered_Kite http://dbpedia.org/resource/Australian_Kite http://dbpedia.org/resource/Black_shouldered_Kite http://dbpedia.org/resource/Black-shouldered_kite,0
54719588_0_8417197176086756912,3,185,NOT FOUND URI,http://dbpedia.org/resource/The_Pope_of_Greenwich_Village http://dbpedia.org/resource/The_pope_of_greenwich_village http://dbpedia.org/resource/The_Pope_of_Greenwich_Village,0
20135078_0_7570343137119682530,1,4,NOT FOUND URI,http://dbpedia.org/resource/Rashomon http://dbpedia.org/resource/Rashōmon_Gate http://dbpedia.org/resource/Raseimon http://dbpedia.org/resource/Rasyomon http://dbpedia.org/resource/RASHOMON_(1951) http://dbpedia.org/resource/Rashomon http://dbpedia.org/resource/Rashamon http://dbpedia.org/resource/Rashoman http://dbpedia.org/resource/Rashaman http://dbpedia.org/resource/Rasyomon_Gate http://dbpedia.org/resource/Rashōmon_(film) http://dbpedia.org/resource/Rajyomon_Gate http://dbpedia.org/resource/Rashomon_(film) http://dbpedia.org/resource/Roshomon http://dbpedia.org/resource/Rashōmon http://dbpedia.org/resource/Rashoumon http://dbpedia.org/resource/Rashomon_(gate) http://dbpedia.org/resource/Rashomon_(movie) http://dbpedia.org/resource/Razyomon_Gate http://dbpedia.org/resource/Rashomon_(Kurosawa_film) http://dbpedia.org/resource/Rajomon_Gate http://dbpedia.org/resource/Rashômon,0
99070098_0_2074872741302696997,1,178,http://dbpedia.org/resource/Grike,http://dbpedia.org/resource/Grike_(Lake_District) http://dbpedia.org/resource/Grike_(Lake_District),0
91959037_0_7907661684242014480,1,118,http://dbpedia.org/resource/Civilization,http://dbpedia.org/resource/Civilization_(video_game) http://dbpedia.org/resource/Civilization_computer_game http://dbpedia.org/resource/Civilisation_(computer_game) http://dbpedia.org/resource/Civnet http://dbpedia.org/resource/Civilization_(video_game) http://dbpedia.org/resource/Civ1 http://dbpedia.org/resource/Civ_I http://dbpedia.org/resource/Sid_Meier's_CivNet http://dbpedia.org/resource/Civilization_I http://dbpedia.org/resource/Civilization_video_game http://dbpedia.org/resource/Civ_1 http://dbpedia.org/resource/CivNet http://dbpedia.org/resource/Sid_Meier's_Civilization http://dbpedia.org/resource/Civilization_(computer_game) http://dbpedia.org/resource/Civilization/video_game http://dbpedia.org/resource/Civilization_1 http://dbpedia.org/resource/Civizilation_(video_game),0
53822652_0_5767892317858575530,1,159,http://dbpedia.org/resource/The_Proposal,http://dbpedia.org/resource/The_Proposal_(film) http://dbpedia.org/resource/The_Proposal_(The_O.C._episode) http://dbpedia.org/resource/The_Proposal_(film) http://dbpedia.org/resource/The_Proposal_(2009_film),0
53822652_0_5767892317858575530,1,110,http://dbpedia.org/resource/Max_Payne,http://dbpedia.org/resource/Max_Payne_(film) http://dbpedia.org/resource/Max_Payne_film http://dbpedia.org/resource/Max_payne_(movie) http://dbpedia.org/resource/Max_Payne_(film) http://dbpedia.org/resource/Max_Payne_2_(film) http://dbpedia.org/resource/Max_Payne_movie,0
13719111_1_5719401842463579519,0,557,http://dbpedia.org/resource/Brown-rumped_bunting,http://dbpedia.org/resource/Cabanis's_Bunting http://dbpedia.org/resource/Cabanis'_Bunting http://dbpedia.org/resource/Cabanis's_bunting http://dbpedia.org/resource/Emberiza_cabanisi http://dbpedia.org/resource/Cabanis's_Bunting http://dbpedia.org/resource/Cabanis'_bunting,0
25404227_0_2240631045609013057,1,61,http://dbpedia.org/resource/Tom_Jones,http://dbpedia.org/resource/Tom_Jones_(1963_film) http://dbpedia.org/resource/Tom_Jones_(1963_film),0
